Tournament,Stage,Match Type,Match Name,Team,Action,Map
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Sentinels,pick,Lotus
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Team Heretics,pick,Sunset
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Sentinels,ban,Icebox
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Team Heretics,ban,Split
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Sentinels,ban,Icebox
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Karmine Corp,ban,Sunset
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Sentinels,pick,Split
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Karmine Corp,pick,Lotus
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Sentinels,ban,Ascent
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Karmine Corp,ban,Breeze
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Gen.G,ban,Bind
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,EDward Gaming,ban,Lotus
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Gen.G,pick,Icebox
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,EDward Gaming,pick,Split
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Gen.G,ban,Sunset
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,EDward Gaming,ban,Ascent
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,FunPlus Phoenix vs LOUD,LOUD,ban,Lotus
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,FunPlus Phoenix vs LOUD,FunPlus Phoenix,ban,Split
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,FunPlus Phoenix vs LOUD,LOUD,pick,Sunset
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,FunPlus Phoenix vs LOUD,FunPlus Phoenix,pick,Breeze
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,FunPlus Phoenix vs LOUD,LOUD,ban,Bind
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,FunPlus Phoenix vs LOUD,FunPlus Phoenix,ban,Ascent
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Team Heretics vs Paper Rex,Paper Rex,ban,Breeze
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Team Heretics vs Paper Rex,Team Heretics,ban,Ascent
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Team Heretics vs Paper Rex,Paper Rex,pick,Sunset
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Team Heretics vs Paper Rex,Team Heretics,pick,Lotus
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Team Heretics vs Paper Rex,Paper Rex,ban,Icebox
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Team Heretics vs Paper Rex,Team Heretics,ban,Bind
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,LOUD vs EDward Gaming,EDward Gaming,ban,Ascent
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,LOUD vs EDward Gaming,LOUD,ban,Split
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,LOUD vs EDward Gaming,EDward Gaming,pick,Icebox
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,LOUD vs EDward Gaming,LOUD,pick,Sunset
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,LOUD vs EDward Gaming,EDward Gaming,ban,Lotus
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,LOUD vs EDward Gaming,LOUD,ban,Bind
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,Karmine Corp vs Paper Rex,Paper Rex,ban,Icebox
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,Karmine Corp vs Paper Rex,Karmine Corp,ban,Sunset
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,Karmine Corp vs Paper Rex,Paper Rex,pick,Bind
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,Karmine Corp vs Paper Rex,Karmine Corp,pick,Lotus
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,Karmine Corp vs Paper Rex,Paper Rex,ban,Split
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,Karmine Corp vs Paper Rex,Karmine Corp,ban,Breeze
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Gen.G vs Paper Rex,Paper Rex,ban,Icebox
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Gen.G vs Paper Rex,Gen.G,ban,Sunset
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Gen.G vs Paper Rex,Paper Rex,pick,Split
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Gen.G vs Paper Rex,Gen.G,pick,Lotus
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Gen.G vs Paper Rex,Paper Rex,ban,Breeze
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Gen.G vs Paper Rex,Gen.G,ban,Bind
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Sentinels vs LOUD,Sentinels,ban,Breeze
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Sentinels vs LOUD,LOUD,ban,Lotus
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Sentinels vs LOUD,Sentinels,pick,Split
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Sentinels vs LOUD,LOUD,pick,Icebox
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Sentinels vs LOUD,Sentinels,ban,Ascent
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Sentinels vs LOUD,LOUD,ban,Bind
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Gen.G vs Sentinels,Sentinels,ban,Icebox
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Gen.G vs Sentinels,Gen.G,ban,Sunset
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Gen.G vs Sentinels,Sentinels,pick,Split
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Gen.G vs Sentinels,Gen.G,pick,Lotus
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Gen.G vs Sentinels,Sentinels,ban,Ascent
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Gen.G vs Sentinels,Gen.G,ban,Bind
Champions Tour 2024: Masters Madrid,Playoffs,Lower Round 1,Paper Rex vs LOUD,LOUD,ban,Split
Champions Tour 2024: Masters Madrid,Playoffs,Lower Round 1,Paper Rex vs LOUD,Paper Rex,ban,Icebox
Champions Tour 2024: Masters Madrid,Playoffs,Lower Round 1,Paper Rex vs LOUD,LOUD,pick,Ascent
Champions Tour 2024: Masters Madrid,Playoffs,Lower Round 1,Paper Rex vs LOUD,Paper Rex,pick,Sunset
Champions Tour 2024: Masters Madrid,Playoffs,Lower Round 1,Paper Rex vs LOUD,LOUD,ban,Lotus
Champions Tour 2024: Masters Madrid,Playoffs,Lower Round 1,Paper Rex vs LOUD,Paper Rex,ban,Breeze
Champions Tour 2024: Masters Madrid,Playoffs,Lower Final,Sentinels vs Paper Rex,Sentinels,ban,Breeze
Champions Tour 2024: Masters Madrid,Playoffs,Lower Final,Sentinels vs Paper Rex,Paper Rex,ban,Icebox
Champions Tour 2024: Masters Madrid,Playoffs,Lower Final,Sentinels vs Paper Rex,Sentinels,pick,Lotus
Champions Tour 2024: Masters Madrid,Playoffs,Lower Final,Sentinels vs Paper Rex,Paper Rex,pick,Ascent
Champions Tour 2024: Masters Madrid,Playoffs,Lower Final,Sentinels vs Paper Rex,Sentinels,pick,Split
Champions Tour 2024: Masters Madrid,Playoffs,Lower Final,Sentinels vs Paper Rex,Paper Rex,pick,Sunset
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Gen.G vs Sentinels,Gen.G,ban,Lotus
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Gen.G vs Sentinels,Gen.G,ban,Sunset
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Gen.G vs Sentinels,Gen.G,pick,Breeze
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Gen.G vs Sentinels,Sentinels,pick,Bind
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Gen.G vs Sentinels,Gen.G,pick,Ascent
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Gen.G vs Sentinels,Sentinels,pick,Split
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),NRG Esports vs FURIA,FURIA,ban,Sunset
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),NRG Esports vs FURIA,NRG Esports,ban,Bind
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),NRG Esports vs FURIA,FURIA,pick,Breeze
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),NRG Esports vs FURIA,NRG Esports,pick,Ascent
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),NRG Esports vs FURIA,FURIA,ban,Lotus
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),NRG Esports vs FURIA,NRG Esports,ban,Icebox
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Cloud9 vs MIBR,Cloud9,ban,Ascent
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Cloud9 vs MIBR,MIBR,ban,Icebox
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Cloud9 vs MIBR,Cloud9,pick,Bind
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Cloud9 vs MIBR,MIBR,pick,Split
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Cloud9 vs MIBR,Cloud9,ban,Breeze
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Cloud9 vs MIBR,MIBR,ban,Sunset
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),LOUD vs Sentinels,Sentinels,ban,Icebox
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),LOUD vs Sentinels,LOUD,ban,Breeze
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),LOUD vs Sentinels,Sentinels,pick,Split
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),LOUD vs Sentinels,LOUD,pick,Ascent
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),LOUD vs Sentinels,Sentinels,ban,Lotus
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),LOUD vs Sentinels,LOUD,ban,Bind
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Leviatán vs 100 Thieves,100 Thieves,ban,Breeze
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Leviatán vs 100 Thieves,Leviatán,ban,Lotus
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Leviatán vs 100 Thieves,100 Thieves,pick,Bind
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Leviatán vs 100 Thieves,Leviatán,pick,Split
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Leviatán vs 100 Thieves,100 Thieves,ban,Sunset
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Leviatán vs 100 Thieves,Leviatán,ban,Ascent
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),KRÜ Esports vs G2 Esports,G2 Esports,ban,Lotus
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),KRÜ Esports vs G2 Esports,KRÜ Esports,ban,Bind
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),KRÜ Esports vs G2 Esports,G2 Esports,pick,Icebox
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),KRÜ Esports vs G2 Esports,KRÜ Esports,pick,Sunset
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),KRÜ Esports vs G2 Esports,G2 Esports,ban,Split
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),KRÜ Esports vs G2 Esports,KRÜ Esports,ban,Breeze
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (A),FURIA vs MIBR,MIBR,ban,Icebox
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (A),FURIA vs MIBR,FURIA,ban,Ascent
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (A),FURIA vs MIBR,MIBR,pick,Split
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (A),FURIA vs MIBR,FURIA,pick,Breeze
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (A),FURIA vs MIBR,MIBR,ban,Bind
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (A),FURIA vs MIBR,FURIA,ban,Sunset
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Sentinels vs 100 Thieves,100 Thieves,ban,Sunset
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Sentinels vs 100 Thieves,Sentinels,ban,Icebox
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Sentinels vs 100 Thieves,100 Thieves,pick,Lotus
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Sentinels vs 100 Thieves,Sentinels,pick,Bind
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Sentinels vs 100 Thieves,100 Thieves,ban,Breeze
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Sentinels vs 100 Thieves,Sentinels,ban,Ascent
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (A),NRG Esports vs Cloud9,Cloud9,ban,Split
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (A),NRG Esports vs Cloud9,NRG Esports,ban,Bind
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (A),NRG Esports vs Cloud9,Cloud9,pick,Sunset
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (A),NRG Esports vs Cloud9,NRG Esports,pick,Ascent
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (A),NRG Esports vs Cloud9,Cloud9,ban,Breeze
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (A),NRG Esports vs Cloud9,NRG Esports,ban,Icebox
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),LOUD vs Leviatán,Leviatán,ban,Sunset
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),LOUD vs Leviatán,LOUD,ban,Breeze
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),LOUD vs Leviatán,Leviatán,pick,Bind
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),LOUD vs Leviatán,LOUD,pick,Split
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),LOUD vs Leviatán,Leviatán,ban,Lotus
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),LOUD vs Leviatán,LOUD,ban,Icebox
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (C),G2 Esports vs Evil Geniuses,G2 Esports,ban,Lotus
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (C),G2 Esports vs Evil Geniuses,Evil Geniuses,ban,Bind
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (C),G2 Esports vs Evil Geniuses,G2 Esports,pick,Sunset
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (C),G2 Esports vs Evil Geniuses,Evil Geniuses,pick,Icebox
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (C),G2 Esports vs Evil Geniuses,G2 Esports,ban,Breeze
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (C),G2 Esports vs Evil Geniuses,Evil Geniuses,ban,Ascent
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (A),Cloud9 vs MIBR,Cloud9,ban,Split
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (A),Cloud9 vs MIBR,MIBR,ban,Icebox
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (A),Cloud9 vs MIBR,Cloud9,pick,Bind
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (A),Cloud9 vs MIBR,MIBR,pick,Ascent
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (A),Cloud9 vs MIBR,Cloud9,ban,Breeze
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (A),Cloud9 vs MIBR,MIBR,ban,Lotus
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Leviatán vs Sentinels,Sentinels,ban,Icebox
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Leviatán vs Sentinels,Leviatán,ban,Sunset
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Leviatán vs Sentinels,Sentinels,pick,Split
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Leviatán vs Sentinels,Leviatán,pick,Breeze
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Leviatán vs Sentinels,Sentinels,ban,Ascent
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Leviatán vs Sentinels,Leviatán,ban,Lotus
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),G2 Esports vs KRÜ Esports,KRÜ Esports,ban,Bind
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),G2 Esports vs KRÜ Esports,G2 Esports,ban,Lotus
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),G2 Esports vs KRÜ Esports,KRÜ Esports,pick,Split
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),G2 Esports vs KRÜ Esports,G2 Esports,pick,Sunset
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),G2 Esports vs KRÜ Esports,KRÜ Esports,ban,Breeze
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),G2 Esports vs KRÜ Esports,G2 Esports,ban,Ascent
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,MIBR vs Sentinels,Sentinels,ban,Breeze
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,MIBR vs Sentinels,MIBR,ban,Bind
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,MIBR vs Sentinels,Sentinels,pick,Split
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,MIBR vs Sentinels,MIBR,pick,Ascent
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,MIBR vs Sentinels,Sentinels,ban,Icebox
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,MIBR vs Sentinels,MIBR,ban,Lotus
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,G2 Esports vs MIBR,G2 Esports,ban,Lotus
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,G2 Esports vs MIBR,MIBR,ban,Icebox
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,G2 Esports vs MIBR,G2 Esports,pick,Sunset
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,G2 Esports vs MIBR,MIBR,pick,Split
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,G2 Esports vs MIBR,G2 Esports,ban,Bind
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,G2 Esports vs MIBR,MIBR,ban,Ascent
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sentinels vs G2 Esports,Sentinels,ban,Icebox
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sentinels vs G2 Esports,G2 Esports,ban,Lotus
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sentinels vs G2 Esports,Sentinels,pick,Sunset
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sentinels vs G2 Esports,G2 Esports,pick,Breeze
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sentinels vs G2 Esports,Sentinels,ban,Ascent
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sentinels vs G2 Esports,G2 Esports,ban,Bind
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Evil Geniuses vs LOUD,LOUD,ban,Breeze
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Evil Geniuses vs LOUD,Evil Geniuses,ban,Bind
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Evil Geniuses vs LOUD,LOUD,pick,Ascent
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Evil Geniuses vs LOUD,Evil Geniuses,pick,Icebox
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Evil Geniuses vs LOUD,LOUD,ban,Lotus
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Evil Geniuses vs LOUD,Evil Geniuses,ban,Split
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,NRG Esports vs Sentinels,Sentinels,ban,Breeze
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,NRG Esports vs Sentinels,NRG Esports,ban,Bind
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,NRG Esports vs Sentinels,Sentinels,pick,Sunset
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,NRG Esports vs Sentinels,NRG Esports,pick,Ascent
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,NRG Esports vs Sentinels,Sentinels,ban,Icebox
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,NRG Esports vs Sentinels,NRG Esports,ban,Lotus
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,LOUD,ban,Breeze
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Sentinels,ban,Ascent
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,LOUD,pick,Sunset
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Sentinels,pick,Split
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,LOUD,pick,Icebox
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Sentinels,pick,Bind
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),Trace Esports vs TYLOO,TYLOO,ban,Lotus
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),Trace Esports vs TYLOO,Trace Esports,ban,Icebox
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),Trace Esports vs TYLOO,TYLOO,pick,Ascent
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),Trace Esports vs TYLOO,Trace Esports,pick,Sunset
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),Trace Esports vs TYLOO,TYLOO,ban,Breeze
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),Trace Esports vs TYLOO,Trace Esports,ban,Bind
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),FunPlus Phoenix vs Nova Esports,Nova Esports,ban,Breeze
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),FunPlus Phoenix vs Nova Esports,FunPlus Phoenix,ban,Ascent
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),FunPlus Phoenix vs Nova Esports,Nova Esports,pick,Sunset
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),FunPlus Phoenix vs Nova Esports,FunPlus Phoenix,pick,Lotus
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),FunPlus Phoenix vs Nova Esports,Nova Esports,ban,Icebox
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),FunPlus Phoenix vs Nova Esports,FunPlus Phoenix,ban,Split
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),JDG Esports vs Titan Esports Club,JDG Esports,ban,Breeze
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),JDG Esports vs Titan Esports Club,Titan Esports Club,ban,Sunset
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),JDG Esports vs Titan Esports Club,JDG Esports,pick,Lotus
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),JDG Esports vs Titan Esports Club,Titan Esports Club,pick,Bind
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),JDG Esports vs Titan Esports Club,JDG Esports,ban,Ascent
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),JDG Esports vs Titan Esports Club,Titan Esports Club,ban,Icebox
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Dragon Ranger Gaming vs All Gamers,All Gamers,ban,Lotus
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Dragon Ranger Gaming vs All Gamers,Dragon Ranger Gaming,ban,Breeze
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Dragon Ranger Gaming vs All Gamers,All Gamers,pick,Sunset
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Dragon Ranger Gaming vs All Gamers,Dragon Ranger Gaming,pick,Ascent
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Dragon Ranger Gaming vs All Gamers,All Gamers,ban,Bind
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Dragon Ranger Gaming vs All Gamers,Dragon Ranger Gaming,ban,Split
Champions Tour 2024: China Kickoff,Group Stage,Opening (C),Bilibili Gaming vs Wolves Esports,Bilibili Gaming,ban,Breeze
Champions Tour 2024: China Kickoff,Group Stage,Opening (C),Bilibili Gaming vs Wolves Esports,Wolves Esports,ban,Lotus
Champions Tour 2024: China Kickoff,Group Stage,Opening (C),Bilibili Gaming vs Wolves Esports,Bilibili Gaming,pick,Ascent
Champions Tour 2024: China Kickoff,Group Stage,Opening (C),Bilibili Gaming vs Wolves Esports,Wolves Esports,pick,Icebox
Champions Tour 2024: China Kickoff,Group Stage,Opening (C),Bilibili Gaming vs Wolves Esports,Bilibili Gaming,ban,Bind
Champions Tour 2024: China Kickoff,Group Stage,Opening (C),Bilibili Gaming vs Wolves Esports,Wolves Esports,ban,Sunset
Champions Tour 2024: China Kickoff,Group Stage,Elimination (A),TYLOO vs Nova Esports,TYLOO,ban,Sunset
Champions Tour 2024: China Kickoff,Group Stage,Elimination (A),TYLOO vs Nova Esports,Nova Esports,ban,Breeze
Champions Tour 2024: China Kickoff,Group Stage,Elimination (A),TYLOO vs Nova Esports,TYLOO,pick,Ascent
Champions Tour 2024: China Kickoff,Group Stage,Elimination (A),TYLOO vs Nova Esports,Nova Esports,pick,Split
Champions Tour 2024: China Kickoff,Group Stage,Elimination (A),TYLOO vs Nova Esports,TYLOO,ban,Lotus
Champions Tour 2024: China Kickoff,Group Stage,Elimination (A),TYLOO vs Nova Esports,Nova Esports,ban,Icebox
Champions Tour 2024: China Kickoff,Group Stage,Elimination (B),JDG Esports vs All Gamers,All Gamers,ban,Lotus
Champions Tour 2024: China Kickoff,Group Stage,Elimination (B),JDG Esports vs All Gamers,JDG Esports,ban,Breeze
Champions Tour 2024: China Kickoff,Group Stage,Elimination (B),JDG Esports vs All Gamers,All Gamers,pick,Icebox
Champions Tour 2024: China Kickoff,Group Stage,Elimination (B),JDG Esports vs All Gamers,JDG Esports,pick,Sunset
Champions Tour 2024: China Kickoff,Group Stage,Elimination (B),JDG Esports vs All Gamers,All Gamers,ban,Ascent
Champions Tour 2024: China Kickoff,Group Stage,Elimination (B),JDG Esports vs All Gamers,JDG Esports,ban,Bind
Champions Tour 2024: China Kickoff,Group Stage,Winner's (A),Trace Esports vs FunPlus Phoenix,FunPlus Phoenix,ban,Ascent
