Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,EDward Gaming vs Trace Esports,Sunset,EDward Gaming,14,7,5,2,Trace Esports,12,7,5,0,
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,EDward Gaming vs Trace Esports,Bind,EDward Gaming,13,8,5,,Trace Esports,6,2,4,,
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,FunPlus Phoenix vs EDward Gaming,Breeze,FunPlus Phoenix,12,5,7,0,EDward Gaming,14,5,7,2,
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,FunPlus Phoenix vs EDward Gaming,Split,FunPlus Phoenix,6,5,1,,EDward Gaming,13,6,7,,
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,FunPlus Phoenix vs EDward Gaming,Icebox,FunPlus Phoenix,13,6,7,,EDward Gaming,8,2,6,,
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,FunPlus Phoenix vs EDward Gaming,Ascent,FunPlus Phoenix,14,6,6,2,EDward Gaming,16,6,6,4,
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),FUT Esports vs Team Heretics,Lotus,FUT Esports,11,7,4,,Team Heretics,13,8,5,,59:29
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),FUT Esports vs Team Heretics,Bind,FUT Esports,10,5,5,,Team Heretics,13,6,7,,50:07
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),GIANTX vs Karmine Corp,Split,GIANTX,11,6,5,,Karmine Corp,13,7,6,,1:01:38
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),GIANTX vs Karmine Corp,Sunset,GIANTX,13,7,6,,Karmine Corp,10,5,5,,48:18
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),GIANTX vs Karmine Corp,Lotus,GIANTX,4,3,1,,Karmine Corp,13,4,9,,41:04
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Natus Vincere vs BBL Esports,Bind,Natus Vincere,8,4,4,,BBL Esports,13,5,8,,49:25
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Natus Vincere vs BBL Esports,Ascent,Natus Vincere,13,6,7,,BBL Esports,6,0,6,,40:33
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Natus Vincere vs BBL Esports,Breeze,Natus Vincere,13,9,4,,BBL Esports,6,3,3,,38:05
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Team Liquid vs KOI,Icebox,Team Liquid,13,5,8,,KOI,10,3,7,,55:23
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Team Liquid vs KOI,Bind,Team Liquid,13,5,8,,KOI,11,4,7,,50:40
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (C),Team Vitality vs Gentle Mates,Sunset,Team Vitality,13,8,5,,Gentle Mates,10,6,4,,1:02:19
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (C),Team Vitality vs Gentle Mates,Lotus,Team Vitality,13,7,6,,Gentle Mates,7,2,5,,45:09
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (A),Team Heretics vs Karmine Corp,Split,Team Heretics,13,9,4,,Karmine Corp,4,1,3,,47:37
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (A),Team Heretics vs Karmine Corp,Lotus,Team Heretics,13,8,5,,Karmine Corp,4,0,4,,42:55
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (A),FUT Esports vs GIANTX,Split,FUT Esports,13,8,5,,GIANTX,6,2,4,,43:40
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (A),FUT Esports vs GIANTX,Icebox,FUT Esports,8,5,3,,GIANTX,13,6,7,,46:54
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (A),FUT Esports vs GIANTX,Sunset,FUT Esports,13,7,6,,GIANTX,7,2,5,,42:03
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (B),Natus Vincere vs Team Liquid,Split,Natus Vincere,13,5,8,,Team Liquid,7,0,7,,45:54
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (B),Natus Vincere vs Team Liquid,Breeze,Natus Vincere,13,6,7,,Team Liquid,7,1,6,,41:49
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (B),BBL Esports vs KOI,Bind,BBL Esports,5,2,3,,KOI,13,3,10,,48:18
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (B),BBL Esports vs KOI,Split,BBL Esports,10,6,4,,KOI,13,7,6,,50:52
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (C),Team Vitality vs FNATIC,Lotus,Team Vitality,12,4,8,0,FNATIC,14,4,8,2,1:00:13
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (C),Team Vitality vs FNATIC,Ascent,Team Vitality,5,5,0,,FNATIC,13,6,7,,41:27
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (C),Team Vitality vs Gentle Mates,Breeze,Team Vitality,4,2,2,,Gentle Mates,13,3,10,,59:21
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (C),Team Vitality vs Gentle Mates,Lotus,Team Vitality,15,5,7,3,Gentle Mates,13,5,7,1,1:05:02
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (C),Team Vitality vs Gentle Mates,Sunset,Team Vitality,13,11,2,,Gentle Mates,3,2,1,,43:26
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (A),Karmine Corp vs FUT Esports,Lotus,Karmine Corp,20,6,6,8,FUT Esports,18,6,6,6,1:29:33
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (A),Karmine Corp vs FUT Esports,Bind,Karmine Corp,4,3,1,,FUT Esports,13,4,9,,39:33
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (A),Karmine Corp vs FUT Esports,Sunset,Karmine Corp,13,10,3,,FUT Esports,7,5,2,,45:00
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (B),Team Liquid vs KOI,Sunset,Team Liquid,11,7,4,,KOI,13,8,5,,1:01:22
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (B),Team Liquid vs KOI,Icebox,Team Liquid,14,6,6,2,KOI,12,6,6,0,1:00:48
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (B),Team Liquid vs KOI,Split,Team Liquid,10,5,5,,KOI,13,6,7,,51:34
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,Karmine Corp vs Team Vitality,Sunset,Karmine Corp,13,8,5,,Team Vitality,8,4,4,,1:08:42
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,Karmine Corp vs Team Vitality,Ascent,Karmine Corp,15,7,5,3,Team Vitality,13,7,5,1,1:14:01
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,KOI vs Team Vitality,Sunset,KOI,9,2,7,,Team Vitality,13,3,10,,56:59
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,KOI vs Team Vitality,Breeze,KOI,6,6,0,,Team Vitality,13,7,6,,42:05
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,Karmine Corp vs KOI,Sunset,Karmine Corp,13,8,5,,KOI,4,0,4,,51:03
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,Karmine Corp vs KOI,Bind,Karmine Corp,13,9,4,,KOI,7,4,3,,44:57
Champions Tour 2024: EMEA Kickoff,Playoffs,Semifinals,Team Heretics vs Natus Vincere,Sunset,Team Heretics,16,4,8,4,Natus Vincere,14,4,8,2,1:24:32
Champions Tour 2024: EMEA Kickoff,Playoffs,Semifinals,Team Heretics vs Natus Vincere,Breeze,Team Heretics,13,10,3,,Natus Vincere,4,2,2,,38:41
Champions Tour 2024: EMEA Kickoff,Playoffs,Semifinals,FNATIC vs Karmine Corp,Lotus,FNATIC,10,4,6,,Karmine Corp,13,5,8,,1:04:42
Champions Tour 2024: EMEA Kickoff,Playoffs,Semifinals,FNATIC vs Karmine Corp,Split,FNATIC,8,5,3,,Karmine Corp,13,6,7,,47:04
Champions Tour 2024: EMEA Kickoff,Playoffs,Grand Final,Team Heretics vs Karmine Corp,Sunset,Team Heretics,13,9,4,,Karmine Corp,9,6,3,,1:07:06
Champions Tour 2024: EMEA Kickoff,Playoffs,Grand Final,Team Heretics vs Karmine Corp,Lotus,Team Heretics,7,1,6,,Karmine Corp,13,2,11,,43:40
Champions Tour 2024: EMEA Kickoff,Playoffs,Grand Final,Team Heretics vs Karmine Corp,Icebox,Team Heretics,7,4,3,,Karmine Corp,13,5,8,,42:55
Champions Tour 2024: EMEA Kickoff,Playoffs,Grand Final,Team Heretics vs Karmine Corp,Split,Team Heretics,5,4,1,,Karmine Corp,13,5,8,,38:24
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (A),T1 vs BLEED,Breeze,T1,18,6,6,6,BLEED,16,6,6,4,3:22:31
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (A),T1 vs BLEED,Lotus,T1,13,9,4,,BLEED,6,3,3,,47:45
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (C),Gen.G vs Rex Regum Qeon,Icebox,Gen.G,13,6,7,,Rex Regum Qeon,11,5,6,,50:50
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (C),Gen.G vs Rex Regum Qeon,Split,Gen.G,11,2,9,,Rex Regum Qeon,13,3,10,,48:33
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (C),Gen.G vs Rex Regum Qeon,Sunset,Gen.G,13,8,5,,Rex Regum Qeon,8,4,4,,45:26
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (A),ZETA DIVISION vs Global Esports,Bind,ZETA DIVISION,13,7,6,,Global Esports,10,5,5,,52:23
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (A),ZETA DIVISION vs Global Esports,Icebox,ZETA DIVISION,13,6,7,,Global Esports,7,1,6,,43:16
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (B),Team Secret vs Talon Esports,Breeze,Team Secret,8,3,5,,Talon Esports,13,4,9,,53:43
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (B),Team Secret vs Talon Esports,Ascent,Team Secret,3,3,0,,Talon Esports,13,4,9,,30:27
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (B),DRX vs DetonatioN FocusMe,Lotus,DRX,13,7,6,,DetonatioN FocusMe,8,3,5,,1:01:21
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (B),DRX vs DetonatioN FocusMe,Breeze,DRX,13,8,5,,DetonatioN FocusMe,8,4,4,,44:13
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (C),Gen.G vs Paper Rex,Breeze,Gen.G,13,6,7,,Paper Rex,10,4,6,,1:02:09
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (C),Gen.G vs Paper Rex,Lotus,Gen.G,10,5,5,,Paper Rex,13,6,7,,49:07
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (C),Gen.G vs Paper Rex,Sunset,Gen.G,7,2,5,,Paper Rex,13,3,10,,40:11
Champions Tour 2024: Pacific Kickoff,Group Stage,Elimination (A),BLEED vs Global Esports,Sunset,BLEED,9,5,4,,Global Esports,13,6,7,,58:19
Champions Tour 2024: Pacific Kickoff,Group Stage,Elimination (A),BLEED vs Global Esports,Icebox,BLEED,13,4,9,,Global Esports,10,2,8,,53:56
Champions Tour 2024: Pacific Kickoff,Group Stage,Elimination (A),BLEED vs Global Esports,Split,BLEED,11,4,7,,Global Esports,13,5,8,,55:06
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (A),T1 vs ZETA DIVISION,Ascent,T1,11,5,6,,ZETA DIVISION,13,6,7,,1:06:46
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (A),T1 vs ZETA DIVISION,Lotus,T1,13,9,4,,ZETA DIVISION,4,1,3,,42:44
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (A),T1 vs ZETA DIVISION,Sunset,T1,13,8,5,,ZETA DIVISION,7,3,4,,44:57
Champions Tour 2024: Pacific Kickoff,Group Stage,Elimination (B),DetonatioN FocusMe vs Team Secret,Lotus,DetonatioN FocusMe,7,3,4,,Team Secret,13,4,9,,57:15
Champions Tour 2024: Pacific Kickoff,Group Stage,Elimination (B),DetonatioN FocusMe vs Team Secret,Breeze,DetonatioN FocusMe,11,5,6,,Team Secret,13,6,7,,52:48
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (B),DRX vs Talon Esports,Split,DRX,13,8,5,,Talon Esports,10,6,4,,1:00:25
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (B),DRX vs Talon Esports,Ascent,DRX,13,6,7,,Talon Esports,8,2,6,,46:12
Champions Tour 2024: Pacific Kickoff,Group Stage,Decider (C),Gen.G vs Rex Regum Qeon,Lotus,Gen.G,13,5,8,,Rex Regum Qeon,7,0,7,,1:06:04
Champions Tour 2024: Pacific Kickoff,Group Stage,Decider (C),Gen.G vs Rex Regum Qeon,Breeze,Gen.G,10,3,7,,Rex Regum Qeon,13,4,9,,53:06
Champions Tour 2024: Pacific Kickoff,Group Stage,Decider (C),Gen.G vs Rex Regum Qeon,Icebox,Gen.G,13,8,5,,Rex Regum Qeon,11,7,4,,50:20
Champions Tour 2024: Pacific Kickoff,Group Stage,Decider (B),Talon Esports vs Team Secret,Breeze,Talon Esports,8,4,4,,Team Secret,13,5,8,,53:46
Champions Tour 2024: Pacific Kickoff,Group Stage,Decider (B),Talon Esports vs Team Secret,Ascent,Talon Esports,7,7,0,,Team Secret,13,8,5,,44:44
Champions Tour 2024: Pacific Kickoff,Group Stage,Decider (A),ZETA DIVISION vs Global Esports,Bind,ZETA DIVISION,13,8,5,,Global Esports,8,4,4,,55:38
Champions Tour 2024: Pacific Kickoff,Group Stage,Decider (A),ZETA DIVISION vs Global Esports,Lotus,ZETA DIVISION,13,9,4,,Global Esports,3,0,3,,36:39
Champions Tour 2024: Pacific Kickoff,Play-Ins,Play-ins,Team Secret vs Gen.G,Breeze,Team Secret,13,8,5,,Gen.G,5,1,4,,52:39
Champions Tour 2024: Pacific Kickoff,Play-Ins,Play-ins,Team Secret vs Gen.G,Lotus,Team Secret,9,8,1,,Gen.G,13,9,4,,53:25
Champions Tour 2024: Pacific Kickoff,Play-Ins,Play-ins,Team Secret vs Gen.G,Icebox,Team Secret,13,4,8,1,Gen.G,15,4,8,3,1:00:12
Champions Tour 2024: Pacific Kickoff,Play-Ins,Play-ins,ZETA DIVISION vs Team Secret,Icebox,ZETA DIVISION,1,1,0,,Team Secret,13,2,11,,36:23
Champions Tour 2024: Pacific Kickoff,Play-Ins,Play-ins,ZETA DIVISION vs Team Secret,Ascent,ZETA DIVISION,8,7,1,,Team Secret,13,8,5,,46:02
Champions Tour 2024: Pacific Kickoff,Play-Ins,Play-ins,Gen.G vs ZETA DIVISION,Icebox,Gen.G,13,8,5,,ZETA DIVISION,6,2,4,,54:35
Champions Tour 2024: Pacific Kickoff,Play-Ins,Play-ins,Gen.G vs ZETA DIVISION,Ascent,Gen.G,13,10,3,,ZETA DIVISION,4,2,2,,39:03
Champions Tour 2024: Pacific Kickoff,Playoffs,Semifinals,T1 vs Paper Rex,Split,T1,14,8,4,2,Paper Rex,16,8,4,4,1:18:27
Champions Tour 2024: Pacific Kickoff,Playoffs,Semifinals,T1 vs Paper Rex,Ascent,T1,6,4,2,,Paper Rex,13,5,8,,41:48
Champions Tour 2024: Pacific Kickoff,Playoffs,Semifinals,DRX vs Gen.G,Bind,DRX,12,7,5,0,Gen.G,14,7,5,2,1:15:25
Champions Tour 2024: Pacific Kickoff,Playoffs,Semifinals,DRX vs Gen.G,Lotus,DRX,8,3,5,,Gen.G,13,4,9,,45:52
Champions Tour 2024: Pacific Kickoff,Playoffs,Grand Final,Paper Rex vs Gen.G,Ascent,Paper Rex,5,5,0,,Gen.G,13,6,7,,57:17
Champions Tour 2024: Pacific Kickoff,Playoffs,Grand Final,Paper Rex vs Gen.G,Split,Paper Rex,13,8,5,,Gen.G,4,0,4,,35:10
Champions Tour 2024: Pacific Kickoff,Playoffs,Grand Final,Paper Rex vs Gen.G,Lotus,Paper Rex,11,7,4,,Gen.G,13,8,5,,49:09
Champions Tour 2024: Pacific Kickoff,Playoffs,Grand Final,Paper Rex vs Gen.G,Bind,Paper Rex,4,4,0,,Gen.G,13,5,8,,31:31
